IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,38,4.59
47.236.202.91,8080,8080,false,SIN,Asia Pacific,Singapore,43,4.59
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,43,4.58
8.219.5.10,2083,2083,true,SIN,Asia Pacific,Singapore,61,4.58
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,4.58
8.219.235.164,8080,8080,false,SIN,Asia Pacific,Singapore,9,4.58
47.242.79.71,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,4.58
47.236.169.15,2096,2096,true,SIN,Asia Pacific,Singapore,58,4.58
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,30,4.58
8.217.121.207,2052,2052,false,HKG,Asia Pacific,Hong Kong,44,4.57
47.243.173.187,2052,2052,false,HKG,Asia Pacific,Hong Kong,60,4.57
47.242.59.216,80,80,false,HKG,Asia Pacific,Hong Kong,50,4.57
8.222.187.4,2096,2096,true,SIN,Asia Pacific,Singapore,109,4.57
8.219.209.14,8443,8443,true,SIN,Asia Pacific,Singapore,120,4.57
47.242.17.250,2082,2082,false,HKG,Asia Pacific,Hong Kong,63,4.57
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,64,4.57
8.219.0.162,2096,2096,true,SIN,Asia Pacific,Singapore,65,4.56
8.222.208.38,2087,2087,true,SIN,Asia Pacific,Singapore,31,4.56
47.243.234.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,68,4.56
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,72,4.56
8.219.194.170,2083,2083,true,SIN,Asia Pacific,Singapore,61,4.56
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,41,4.56
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,115,4.56
8.210.21.65,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,4.55
47.236.165.25,8080,8080,false,SIN,Asia Pacific,Singapore,25,4.55
47.76.33.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,4.55
47.243.139.85,80,80,false,HKG,Asia Pacific,Hong Kong,49,4.55
47.237.83.20,8443,8443,true,SIN,Asia Pacific,Singapore,63,4.55
47.243.183.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,4.55
47.242.176.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,4.54
8.219.83.201,2052,2052,false,SIN,Asia Pacific,Singapore,13,4.54
8.210.9.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,4.54
8.222.136.247,2053,2053,true,SIN,Asia Pacific,Singapore,72,4.54
47.236.168.17,2082,2082,false,SIN,Asia Pacific,Singapore,21,4.54
47.76.80.72,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,4.53
8.217.232.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,34,4.53
47.243.67.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,4.53
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,4.53
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,12,4.53
8.217.85.14,2095,2095,false,HKG,Asia Pacific,Hong Kong,48,4.52
47.236.164.215,2083,2083,true,SIN,Asia Pacific,Singapore,53,4.52
47.236.202.91,80,80,false,SIN,Asia Pacific,Singapore,25,4.52
8.218.155.238,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,4.52
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,6,4.52
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,42,4.52
8.217.251.62,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,4.51
47.243.206.150,2086,2086,false,HKG,Asia Pacific,Hong Kong,47,4.51
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,37,4.51
47.76.159.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,4.51
8.210.21.65,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,4.51
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,141,4.50
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,71,4.50
47.243.91.58,2082,2082,false,HKG,Asia Pacific,Hong Kong,55,4.50
47.242.155.183,2083,2083,true,HKG,Asia Pacific,Hong Kong,87,4.49
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,42,4.49
8.217.221.165,2096,2096,true,HKG,Asia Pacific,Hong Kong,103,4.49
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,5,4.49
8.222.174.108,2086,2086,false,SIN,Asia Pacific,Singapore,12,4.49
47.236.158.158,2052,2052,false,SIN,Asia Pacific,Singapore,17,4.48
47.242.155.183,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,4.48
8.222.164.209,2086,2086,false,SIN,Asia Pacific,Singapore,4,4.48
8.218.174.118,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,4.48
